Donor,ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio log,share of multilateral,"share of cpa, log"
Switzerland,0.6410555786004379,-0.3172982943932929,0.1895023317576642,-1.4556450774754632,-0.2175798545897545,-0.30627294593205284,0.4031069248873754,0.45061648585121167,-0.0048876987588599595,-0.4732581526320077,-0.00707171015757331,0.8260029873355492,-0.4065667044871589,0.7032144399022839,0.40652209070351525,0.5516602889678422,0.2585757876203477,-0.4267045573236104,-0.1831661531450866,-0.2867873851561617,0.553752869983286,0.300730897579144,-0.8837153840553775,1.2728530229052368,0.5632584590436259,-0.4768470926702694,-0.13040606798381724
United States,-0.6040394799622809,-0.6239522970239502,-0.16881563876262268,-0.9304904644610779,-0.31839786381986435,-0.11982716741636973,1.1174204958876053,0.6447516718648257,0.7934445494043917,-0.5349377288224002,1.0725866799496298,0.3837633834123605,-0.3625413365232038,-0.23818366968911306,-0.1947598743289486,-0.469642023403623,0.7017049128304409,-0.5349574475545003,0.5128724472448648,-0.6137696740205187,0.13971296726428503,0.11737766770030456,-0.7540780650988256,0.3159529290714094,1.0697556016328404,-0.748656598111187,0.15179303098373098
United Kingdom,1.3006304181535888,-0.5893821741239889,0.48078106243287017,-0.9304904644610779,-0.3723235512130512,-0.15423175155378474,0.8887555139013762,0.8117073817268861,0.142230724484883,-0.44543595997433283,0.3617317180117005,0.16687128134632617,-0.248878133159503,1.5117364784707599,-0.22853017529138528,1.448618861682965,-0.0006584932586360888,1.273371048609592,-0.24976772660687008,-0.507466860882856,0.15486595906972292,0.2848939490454702,-0.8494639991434693,0.20450682383047378,0.04069331660262331,-0.005303531775642998,-0.27505969207920944
United Arab Emirates,0.7423166995909745,-0.618166687548227,-0.3542155382349164,-0.19032660883858668,-0.4757974763854026,-0.255979169974775,1.738826141337904,1.3641367757593903,1.9969230700808593,-0.4778768545441056,-0.6863014866878154,-0.8437849394786063,-0.1802331195758865,-0.6886013921577763,-0.6379174808113974,-0.929983108521961,0.3660744534539502,-0.4887612233083418,-0.07082637724659831,-0.794272326663923,1.3607526001791166,-0.8126902311857311,1.2863470372625394,-0.8841604059265751,3.5063286980502864,-1.9113291801432837,0.7577984487273831
Denmark,1.3645832708389367,-0.5828959219050335,-0.09273287159827145,-0.19032660883858668,-0.49398481746091827,0.019185612863974643,1.4236221108281586,1.2456025185585564,0.3992884033660042,-0.40586128134669774,-0.42469305233374677,1.237152273149408,-0.21005226994264192,-0.09450338330013555,0.11465374904881037,-0.1822607343227459,0.31589636000778454,-0.4027639921900194,-0.6753057103063992,-0.6544787783449318,1.6129425418013519,1.0400387140742617,-0.9668087389539933,0.73497982331017,0.42195644624580997,0.329892172011071,-0.1361304881905689
Finland,0.5597674784407513,-0.524029348247769,0.7446175467723499,1.0749918597982902,-0.4141436654733434,-0.17737891150971505,0.854299720590735,1.3102859999421546,0.3168871926863146,-0.1690315112439266,-0.37535565752725714,0.7248293225169009,-0.37966467675848903,4.342645347004603,0.3957866553175748,-0.18669847548366542,-0.11630345556257128,-0.08629263725242263,-0.6148319095424605,-0.38258901297727216,0.5678160654763872,0.5823369602471378,-1.0316255472923186,0.3121281501706342,-0.190503140880445,0.4841967141860424,-0.16542363453551945
France,0.7706685462557907,-0.59520474485673,-0.1641011207987566,-1.4556450774754632,-0.0018027691423166327,-0.20287460921560033,0.5196116284641252,-0.37568273990624085,-0.2516599586204399,-0.06596947720804051,-0.3431482264093695,-0.06517001034760558,0.5975322969869475,0.7569476014454563,0.7828198383920362,1.7936233334050558,-0.8461875538050866,0.7791867207122128,-0.05367472187683386,0.2068507213232925,-0.8593720080429551,-0.8474997853459715,0.9601491042710232,-0.7303653035944407,-0.48219728067081635,-0.77144161457132,0.9043545415843559
Latvia,-0.8019712668950167,1.2434030610635662,1.2272943337425786,1.6001464728126755,-0.5083612535738977,-0.7260950722047697,-1.0075089222020261,-1.1767259500791252,-1.2133227880626027,0.4635190173964991,-0.7211217270628413,2.467687442676769,-0.43774061848328555,-0.6886013921577763,-0.9117369263509105,-1.0408448815879818,-0.010613206265105984,2.8329179962286153,-1.0168850163533167,0.9426775971768402,-0.34654062040117406,0.46232793648801435,-0.7749433382701074,1.2729269789140327,-0.8147121326715326,1.5498212492559773,0.11140321332535016
Israel,-1.030836402704305,-0.39818143185560984,0.36178610806022604,-0.9304904644610779,-0.24084266252140743,1.5029261066138566,-0.8805338326705417,-1.1350711868895194,-0.6101357207078768,-0.7925692015276319,-1.006740613357217,-1.1126321531615266,-0.5415140281389934,-0.6886013921577763,-1.1574430483165983,-1.0457473279595246,-0.9000390132731384,-0.9144238986383122,2.2519036596507327,-0.8274609890837059,-1.2726703721321466,-1.2210174483041616,1.7097432977354916,-1.1747608448918199,-0.9099330868567516,-1.5378810606887812,0.7626982492339551
Canada,-0.015071616557512279,-0.5962645352516541,-0.12470469719059021,-1.211887702462959,-0.3144718157937492,0.006900126507660777,0.7006147802920427,0.7755683985585247,0.1322184987929614,-0.3259085977731139,0.09424428792698336,0.8287998735417809,-0.07353442277214635,-0.17374799603885147,0.9703273326115368,0.34842377519227724,-0.0620379519337046,-0.438116175820744,-0.2419430875021763,-0.12728526996987544,0.49740612654915545,0.8046594221634691,-0.8242772261471542,0.6453193269865234,1.0496134190672959,-0.11488497999073921,-0.7551221571916301
